All Items,Part No.,Part Name,Description
All Items,1,Setting value,This part contains the requested or required value.
All Items,2,Tolerance high,This part sets the high limit of the value in part 1.
All Items,3,Exception code,This part contains the exception code. For information on Exception codes see Chapter Appendix A.
All Items,4,Actual value,This part is the read back part in calibrated units. The value of part 4 is obtained by multiplying the valid value by the calibration gain divided by 2048. Thus:
,,,part 4 = part 110 × (part 11/2048)
All Items,5,Change queue,This part defines default change queue.
All Items,6,Tolerance low,This part sets the low limit of the value in part 1.
All Items,10,Calibration offset,This part is the offset value that is applied to part 111 during calibration.
All Items,11,Calibration gain,This part is the gain value that is applied to part 110 during calibration.
All Items,12,Calibration inverse,This part is the inverse gain value that is applied to limits to obtain raw limits.
All Items,13,Access pointer,This part is the index to all fac 1 arrays and can be used together with the control pointer access to gain access to any variable in the system.
All Items,14,Access mask,This part is used to distinguish between incoming raw analog and digital data.
,,,A value of -1 denotes analog data.
,,,A value between 0 and 65535 denotes digital data.
All Items,15,Action mask,This part determines the action to be taken when a limit is violated. Table 2.30 shows the permitted values of part 15
All Items,16,Parent interlock,This part defines hierarchy of interlocks. If the item in this part is also an inhibit then this item will not be displayed.
All Items,17,Default frequency,This part defines default frequency queue.
All Items,18,Item type,This part defines how an item is treated.
,,,"The lower 5 bits define 32 different item types being subdivisions of transmit items, receive items and process items to select the type of processing required per item."
,,,The upper 11 bits define a number of attributes per item. 
All Items,19,Calibration limit high,This part is the calibrated upper limit.
All Items,20,Calibration limit low,This part is the calibrated lower limit.
All Items,21,Actual start,This part sets the geometrical value.
All Items,22,Actual stop,This part is the calculated stop value.
All Items,23,Actual restart,This part sets the geometrical value of actual restart.
All Items,24,Final value,This part sets the final geometrical value.
All Items,25,Required stop,This part is the required stop part. 
All Items,26,Maximum output,This part sets the final geometrical value.
All Items,27,Maximum input,This part sets the final geometrical value.
All Items,28,Confirmed value,This part is the confirmed value part.
All Items,38,Coupled item,This part enables control of a particular item from a separate item enabling access to item that are not directly accessible.
All Items,45,Confirmed value,zelfde mogelijk als part 4?
All Items,39,Coupled part,This part enables control of a particular part from a separate item enabling access to parts that are not directly accessible.
All Items,101,F1 item type,This part enables reduction of the Item type for use by Facility 1:
,,,0 = Rx Integer
,,,1 = Tx Integer
,,,2 = Rx Boolean
,,,3 = Tx Boolean
,,,4 = Process types. 
All Items,102,F1 count,"Count of the number of times this channel has been transmitted (Tx), received (Rx) or processed."
All Items,103,Physical address,This part is the physical address of an item. It comprises of three elements that can be decoded from the value of the item:
,,,RTU address from 0 to 5 (part 104)
,,,Device address from 0 to 127
,,,Read\write bit 0 or 1.
All Items,104,RTU address,"This part is the address of the RTU to which the associated item points. It is part of the physical address. Only receive and transmit items have a direct connection to the hardware, but process items show an RTU address of 0 (ICCA-A) which is not true."
All Items,105,Device address,"This part is the device address, indicating the PCB and channel with which the item is communicating"
All Items,106,Read/Write address,This is the read/write address.
,,,Read = 1
,,,Write = 0.
All Items,110,Valid value,This part is the raw value that is added to the offset part. The value of part 110 is calculated by adding the calibration offset value part 10 to the raw data part 111.
All Items,111,Raw data,"This part is the raw data read from an AI12 PCB or a DIE PCB. The raw data can be a 12-bit digital representation of an analog value from an AI12 PCB, or a binary value that is 1 bit of a 16-bit word from a DIE PCB. The value of part 111 is not the true value of the source data, due to 0 volt differences."
,,,The value of part 14 distinguishes between incoming analog or digital data.
All Items,112,Required setting,"This part is the required setting part, initially derived from part 1 × part 12 (inverse gain). For process items and stand-alone transmit items, part 112 is used as a set value. For servo process items, the value may be adjusted automatically by feedback when the servo is enabled."
All Items,114,Change raw value,"This part is the accumulated error from the output of the servo process item. The part is used mainly in transmit items as the new set value, to correct any error in the corresponding transmit item."
All Items,120,Limit enable,When set enables Facility 1 log faults due to limit errors.
All Items,121,High limit binary,"This part is uncalibrated units derived from part 19. Part 121 has the same function as part 19, but with different units. Thus:"
,,,part 121 = part 19 × (part 12/2048) + part 10
All Items,122,Low limit binary,"This part is the uncalibrated units derived from part 20. Part 122 has the same function as part 20, but with different units. Thus:"
,,,part 122 = part 20 × (part 12/2048) + part 10
All Items,123,Absolute high limit,This part is the upper design limit. The part functions in the same way as part 121 but cannot be adjusted.
All Items,124,Absolute low limit,This part is the lower design limit. The part functions in the same way as part 122 but cannot be adjusted.
All Items,125,Max output,Clamps maximum value of Tx items.
All Items,126,Min output,Clamps minimum value of Tx items
All Items,127,Limit fault,Set to True (i255) if Limit fault is set otherwise false.
All Items,130,Process/filter identification,"This part is the process identification part: for example, the filter type for receive items."
,,,"For items that display the value -32767 when HT is Off, the real value can be displayed by setting the value of part 130 to 10."
All Items,131,Parameter 1 function,"The function of part 131 varies, depending on the item in which it is contained. "
All Items,,movement start items,part 131 is the gain value of the check potentiometer.
All Items,132,Parameter 2 function,"The function of part 132 varies, depending on the item in which it is contained"
,,,"For example, in movement start items, part 132 is the offset value of the check potentiometer."
All Items,133,Parameter 3 function,"The function of part 133 varies, depending on the item in which it is contained."
Check potentiometer items,133,Parameter 3 function,The amount by which the value of the check
,,,potentiometer can vary from that of the coarse potentiometer without an error.
Steering servo items 2R and 2T,133,Parameter 3 function,A pointer to the lookup table that the item is using. Thus:
,,,2R low = 0
,,,2T low =1
,,,2R high = 2
,,,2T high = 3
,,,2R mid = 4
,,,2T mid =5
All Items,134,Parameter 4 function,"The function of part 134 varies, depending on the item in which it is contained."
Demand items,134,Parameter 4 function,Contains the quadratic gain.
Light field item,134,Parameter 4 function,The time delay before the light is switched Off.
Movement control items,134,Parameter 4 function,The raw value of the maximum permitted unexpected movement.
Magnet systems,134,Parameter 4 function,Change threshold should be 1.
All Items,135,Parameter 5 function,"The function of part 135 varies, depending on the item in which it is contained."
Demand items,135,Parameter 5 function,Contains the linear gain.
Magnetron tuner servo,135,Parameter 5 function,The change threshold used to set the value of integrated composite phase error that must accumulate before the magnetron attempts to correct
Magnet systems,135,Parameter 5 function,Overshoot should be 1000
