,Item,Part,R/W,Category,Description,Data Type,Units,Min Value,Max Value
0,2000,100,RW,Modality,Set mode. 0 = Not set; 111 = Electron; 222 = Xray mode.,signed 16-bit integer,none,0.0,222.0
1,2001,100,RW,Video Line,Initialises the video screen. If TRUE then the display will be initialised. If FALSE the video will be closed down.,unsigned 8-bit integer,PL/M boolean,0.0,1.0
2,2001,111,R,Video Line,Used to report the video line currently being calibrated.,unsigned 16-bit integer,video line,1.0,512.0
3,2001,175,RW,Video Line,Initialises the video screen. If TRUE then the display will be initialised. If FALSE the video will be closed down.,unsigned 8-bit integer,PL/M boolean,0.0,1.0
4,2002,111,R,Video Column,Used to define and draw the video column of the Reference Reflector being calibrated.,unsigned 16-bit integer,video column,1.0,768.0
5,2003,100,RW,Shape Code,The shape to be loaded. 1 = Irregular shape; 2 = Rectangular shape.,signed 16-bit integer,TBA,1.0,2.0
6,2004,100,RW,Calibrate,Trigger load of Calibration Data.,unsigned 8-bit integer,PL/M boolean,0.0,1.0
7,2004,175,R,Calibrate,Trigger load of Calibration Data.,unsigned 8-bit integer,PL/M boolean,0.0,1.0
8,2005,103,RW,Leaf Gain,Major gain used to convert between physical positions at iso-centre and sub-pixels in video memory.,signed 16-bit integer,gain expressed as ratio of 2048,1000.0,7000.0
9,2006,100,RW,Diagnostic,Use to set the Control System into Diagnostic Control mode TRUE).,unsigned 8-bit integer,PL/M boolean,0.0,1.0
10,2006,111,RW,Diagnostic,Enables software test functions.,unsigned 16-bit integer,TBA,32768.0,32768.0
11,2006,188,RW,Diagnostic,General purpose register that can be written to and read by Desktop,,,,
12,2006,189,RW,Diagnostic,General purpose register that can be written to and read by Desktop,,,,
13,2006,190,RW,Diagnostic,General purpose register that can be written to and read by Desktop,,,,
14,2006,191,RW,Diagnostic,General purpose register that can be written to and read by Desktop,,,,
15,2007,102,RW,Leaf Bank Y2,Major offset for leaf-bank.,signed 16-bit integer,mm/10 at Leaf Bank,1919.0,5759.0
16,2007,115,RW,Leaf Bank Y2,Set demand to all motors in Leaf Bank.,signed 16-bit integer,motor demand,-127.0,127.0
17,2007,172,RW,Leaf Bank Y2,Set Reflector width for all Leaves in Bank.,unsigned 16-bit integer,pixel,1.0,50.0
18,2007,156,,Leaf Bank Y2,max position,,,,
19,2007,155,,Leaf Bank Y2,min position,,,,
20,2007,151,,Leaf Bank Y2,rad gain adj,,,,
21,2007,153,,Leaf Bank Y2,rad offset adj,,,,
22,2008,102,RW,Leaf Bank Y2,Major offset for leaf-bank.,signed 16-bit integer,mm/10 at Leaf Bank,1919.0,5759.0
23,2008,115,RW,Leaf Bank Y2,Set demand to all motors in Leaf Bank.,signed 16-bit integer,motor demand,-127.0,127.0
24,2008,172,RW,Leaf Bank Y2,Set Reflector width for all Leaves in Bank.,unsigned 16-bit integer,pixel,1.0,50.0
25,2008,156,,Leaf Bank Y2,max position,,,,
26,2008,155,,Leaf Bank Y2,min position,,,,
27,2008,151,,Leaf Bank Y2,rad gain adj,,,,
28,2008,153,,Leaf Bank Y2,rad offset adj,,,,
29,2009,140,,Leaf Bank Y1,delta rad A,,,,
30,2009,141,,Leaf Bank Y1,delta rad B,,,,
31,2009,142,,Leaf Bank Y1,delta rad C,,,,
32,2009,143,,Leaf Bank Y1,delta rad D,,,,
33,2009,144,,Leaf Bank Y1,Delta tip A,,,,
34,2009,145,,Leaf Bank Y1,Delta tip B,,,,
35,2009,146,,Leaf Bank Y1,Delta tip C,,,,
36,2009,147,,Leaf Bank Y1,Delta tip D,,,,
37,2009,253,,Leaf Bank Y1,DN value,,,,
38,2009,247,,Leaf Bank Y1,DS value,,,,
39,2009,248,,Leaf Bank Y1,F value,,,,
40,2009,246,,Leaf Bank Y1,I value,,,,
41,2009,120,RW,Leaf Control,Static tolerance.,signed 16-bit integer,mm/10 at isocentre,1.0,100.0
42,2009,121,RW,Leaf Control,Inner limit for the servo controller deadband.,signed 16-bit integer,mm/10 at isocentre,1.0,100.0
43,2009,122,RW,Leaf Control,Maximum demand to motor.,signed 16-bit integer,motor demand,-127.0,127.0
44,2009,123,RW,Leaf Control,Minimum prescribed gap between opposing leaves.,signed 16-bit integer,mm/10 at isocentre,15.0,200.0
45,2009,127,RW,Leaf Control,Deacceleration.,signed 16-bit integer,gain expressed as ratio of 2048,0.0,9999.0
46,2009,128,RW,Leaf Control,Not used with the Agility Head.,signed 16-bit integer,10ths mms-1 at isocentre,15.0,200.0
47,2009,171,RW,Leaf Control,Distance that the Diaphragms can be near the guard Leaves until an extra leaf pair will be opened.,signed 16-bit integer,mm/10 at isocentre,0.0,50.0
48,2009,181,RW,Leaf Control,Threshold for number of pixels in the reference reflector below which a warning will be raised.,unsigned 8-bit integer,pixel,0.0,255.0
49,2009,183,RW,Leaf Control,Minimum percentage of pixels in search rectangle for valid reflector.,unsigned 16-bit integer,percent,10.0,100.0
50,2009,184,RW,Leaf Control,Maximum percentage of pixels in search rectangle for valid reflector.,unsigned 16-bit integer,percent,10.0,100.0
51,2009,200,RW,Leaf Control,Counts the number of state transitions from all reflectors found to one or more reflectors lost. The value persists across system re-boots.,unsigned 16-bit integer,none,0.0,65535.0
52,2009,203,RW,Leaf Control,The distance from the desired leaf position at which the deceleration logic is applied.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
53,2009,204,RW,Leaf Control,The maximum speed demand that can be applied within the slow down distance.,signed 16-bit integer,motor demand,-32768.0,32767.0
54,2009,205,RW,Leaf Control,Resets all leaf movement delta values.,unsigned 16-bit integer,none,0.0,65535.0
55,2009,207,RW,Leaf Control,User supplied value,,,,
56,2009,208,RW,Leaf Control,Leaf Motor Current enable.,unsigned 8-bit integer,PL/M boolean,0.0,255.0
57,2009,213,RW,Leaf Control,Leaf Motor Current limit.,signed 16-bit integer,TBA,-32768.0,32767.0
58,2009,224,RW,Leaf Control,Number of samples over which the Leaf positional error is averaged.,unsigned 16-bit integer,none,1.0,50.0
59,2009,225,RW,Leaf Control,Steady-state dynamic tolerance,signed 16-bit integer,mm/10 at isocentre,1.0,100.0
60,2009,228,RW,Leaf Control,Tolerance used for closed leaves,signed 16-bit integer,mm/10,1.0,100.0
61,2009,229,RW,Leaf Control,The steady state tolerance used for dynamic leaves when delivering at a low dose.,signed 16-bit integer,mm/10,1.0,100.0
62,2009,231,RW,Leaf Control,Maximum permitted leaf velocity.,unsigned 16-bit integer,10ths mms-1 at isocentre,0.0,65535.0
63,2009,232,RW,Leaf Control,Inertia-Compensation-Distance. The distance that must be moved before the system has overcome any inertia.,unsigned 16-bit integer,mm/10 at isocentre,0.0,65535.0
64,2009,249,RW,Leaf Control,User supplied value,,,,
65,2009,233,,Leaf Control,NDR start trans toll,,,,
66,2009,234,,Leaf Control,NDR trans toll offset,,,,
67,2009,235,,Leaf Control,NDR trans toll gain,,,,
68,2009,236,,Leaf Control,NDR trans toll gradient,,,,
69,2009,237,,Leaf Control,NDR trans toll time,,,,
70,2009,238,,Leaf Control,NDR max inst,,,,
71,2009,239,,Leaf Control,LDR start trans toll,,,,
72,2009,240,,Leaf Control,LDR trans toll offset,,,,
73,2009,241,,Leaf Control,LDR trans toll gain,,,,
74,2009,242,,Leaf Control,LDR trans toll gradient,,,,
75,2009,243,,Leaf Control,LDR trans toll time,,,,
76,2009,244,,Leaf Control,LDR max inst,,,,
77,2009,369,,Leaf Control,brick width,,,,
78,2009,270,,Leaf Control,brick height,,,,
79,2009,245,,Leaf Control,P value,,,,
80,2009,424,,Leaf Control,Peak dynamic tolerance,,,,
81,2009,397,,Leaf Control,Profile DFF value,,,,
82,2009,394,,Leaf Control,Profile I value,,,,
83,2009,395,,Leaf Control,Profiled D value,,,,
84,2009,396,,Leaf Control,Profiled FF value,,,,
85,2009,393,,Leaf Control,Profiled P value,,,,
86,2009,160,,Leaf Control,sensor max error,,,,
87,2010,109,RW,Reference Reflector-01,Calibrated X co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,7680.0
88,2010,110,RW,Reference Reflector-01,Calibrated Y co-ordinate of the centre of the reference reflector.,unsigned 16-bit integer,pixel/10,0.0,5760.0
89,2010,111,R,Reference Reflector-01,Calibrated number of pixels in the reference reflector.,unsigned 8-bit integer,pixel,0.0,255.0
90,2010,172,RW,Reference Reflector-01,Width of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
91,2010,173,RW,Reference Reflector-01,Height of reference reflector.,unsigned 16-bit integer,pixel,0.0,65535.0
92,2010,176,R,Reference Reflector-01,Number of white pixels found in search rectangle when searching horizontally.,unsigned 16-bit integer,pixel,0.0,65535.0
