,Urgentie,Type,Machine,User,Storingsinfo,Status,Meldtijd,Lev.
,NietAcuut,Overig,Linac5,CLO,Storing met: Overig,-,08/05/2025,0
,,,,,test,,,
,NietAcuut,Versneller,Linac4,NIE,Storing met: Versneller,-,28/04/2025,0
,,,,,"Op de L5, Table clutch (tijdens opwarmen bestraling)",,,
,Preventief,,Linac2,WOD,"Met Elekta de stuurstroom van de wedge geinspecteerd, deze gaat niet terug naar 0 als de wedge stil staat. Er blijft dus een stroompje aanwezig, waarschijnlijk is daarom de Offline agility test ook steeds `fout`. Klinisch geen probleem, maar als er tijd is Wedge control PCB vervangen om te kijken of dit het oplost (let op: wel potmeters op PCB afregelen)",-,24/04/2025,0
,Acuut,,Linac5,CLO,DLG Y1 motor doet het niet,-,10/04/2025,0
,Acuut,,Linac5,WOD,Nieuwe Mosaiq installatie op CCP management PC + validatie metingen met delta4,-,09/04/2025,0
,Acuut,,Linac5,WOD,Mosaiq Fatal Error due to change in regional settings,-,08/04/2025,0
,Acuut,,Linac5,WOD,XVI Small filament error -> kV buis stuk,-,02/04/2025,0
,Acuut,,Linac5,WOD,Lasers niet goed uitgelijnd,-,01/04/2025,0
,NietAcuut,Versneller,Linac1,bem,"Na verlopen tyratron en .. timer komt inihibit facility 1 state op. De volgende suspends worden gemeld: 763 - RTU HTB, 751 - PPG Card, 604 - PRF mode, 443 - PRF HT en. Herstarten Linac hielp niet. Na het herplaatsen van de PPG boards was het probleem verdewenen. Facilily 1 state komt regelmatig voor op de L1, er wordt een PPG board besteld om dit board te vervangen.",-,25/03/2025,0
,NietAcuut,Versneller,Linac3,HIZ,Storing met: Versneller,-,18/03/2025,0
,,,,,2T Err,,,
,Acuut,,Linac2,MAP,table clutch: 7x (daarna verder gestraald op L3 va 9.30u),-,14/03/2025,0
,NietAcuut,,Linac3,HDV,Volume intercom kan niet aangepast worden. Geluid vanuit de bunker kunnen we niet goed horen.,-,12/03/2025,0
,NietAcuut,,Linac2,SLE,table clutch,-,11/03/2025,0
,NietAcuut,,Linac2,SLE,table clutch,-,11/03/2025,0
,NietAcuut,,Linac2,SLE,table clutch,-,11/03/2025,0
,Preventief,,Linac2,WOD,"Table clutch komt steeds vaker op. Voor conebeam, na conebeam, tijdens bestralen. Voorstel: kijken of we de storing er in kunnen krijgen en dan onderzoeken/meten wat de oorzaak is",-,11/03/2025,0
,Preventief,,Linac3,WOD,Af en toe geeft 6 MeV filter parit inhibit. 1 van de carrousel schakelaars moet vervangen worden,-,07/03/2025,0
,Acuut,versnellerkop,Linac3,bem,3x leafs vastgelopen do-27 en vr-28 feb,-,27/02/2025,0
,NietAcuut,,Linac2,WOD,"Wedge loopt zwaar. Inspecteren met AST (op lage stroom), eventueel de spindel + rails dunnetjes invetten met Lithiumvet",-,27/02/2025,0
,Acuut,,Linac2,WOD,XVI generator foutcodes 41 en 66.,-,27/02/2025,0
,Acuut,,Linac4,bem,systeem gaat helemaal uit. Nadat het opnieuw is opgestart: krijgen we de medling MLC not ready. Leaf Y1-65 zit vast.,-,21/02/2025,0
,NietAcuut,Versneller,Linac2,VIS,"Storing met: Versneller, Overig",-,19/02/2025,0
,,Overig,,,"Linaccheck van Linac 2/3 is niet goed gekalibreerd, deze geeft een te hoge waarde aan!",,,
,Acuut,versnellerkop,Linac4,bem,MLC not ready. Leave Y1-16 vast,spindle en key van Y1-16 vervangen. Systeem weer klinisch,18/02/2025,0
,Acuut,versnellerkop,Linac4,bem,"MLC not ready, leave Y1-60 zat vast",spindle en key van Y1-60 vervangen. Systeem weer klinisch,18/02/2025,0
,Acuut,versnellerkop,Linac2,bem,Leave Y1-60 zat vast,-,17/02/2025,0
,Acuut,versnellerkop,Linac4,bem,MLC not ready. Leave Y1-59 vast,spindle en key van Y1-59 vervangen. Systeem weer klinisch,14/02/2025,0
,NietAcuut,Versneller,Linac4,LLB,Storing met: Versneller,-,12/02/2025,0
,,,,,"Bij elektronen kon de laterale verschuiving na een CBCT niet van buiten gedaan worden, wel in de bunker",,,
,Acuut,,CT-SIM,bem,tijdens ASU beweging ratelen relais in de kop. Beeld van MLC knippert en toont vreemde (dubbele) beelden. Na onderzoek bleek dat dit ALEEN gebeurd als de diafragmas beweging. Het lijkt erop dat de dc mains voeding naar beneden wordt getrokken. Nadat de kappen van de koppen werden afgehaald verdween het probleem. DLG board voor diafragmas is vervangen.,diafragma DLG board vervangenIn onderzoek.,07/02/2025,0
,NietAcuut,Versneller,Linac1,HIZ,Storing met: Versneller,"KFM kan bevestigen, leafs moeten schoongemaakt worden",06/02/2025,0
,,,,,"Vandaag 3x stops met straling: 1x leafs not ready X2 1x reset required 1x wel geluid maar geen straling, ging niet verder => interuptknop => daarna ging ie weer verder",,,
,NietAcuut,,Linac2,WOD,Kortstondig 2T error tijdens stralen 6MV. Daarna konden de laboranten gewoon doorgaan.,Bij volgende keer onderhoud/waterbak 6MV symmetry checken en/of LUTs controleren?In onderzoek.,04/02/2025,0
,Acuut,,Linac2,CLO,"Paar keer lost leafs reflector rate, mogelijk probleem waar voor de MLC kabel op 29-01-2025 is vervangen niet helemaal opgelost",-,31/01/2025,0
,NietAcuut,,Linac3,SLE,Twee keer achter elkaar `2T Err` bij een vmat veld. Na tweemaals reset gegeven verder kunnen stralen.,-,29/01/2025,0
,NietAcuut,Versneller,Linac2,MKO,Storing met: Versneller,-,22/01/2025,0
,,,,,MLC reset required Lost reflector rate 2x,,,
,NietAcuut,,Linac4,BBC,"Bij het ophangen van de tubus bij elektronen ""pakt"" hij hem heel vaak niet goed. Je moet vaak meerdere keren proberen hem erin te klikken voordat hij het echt doet.",-,07/01/2025,0
,NietAcuut,XVI,Linac4,HIZ,Storing met: XVI,-,23/12/2024,0
,,,,,"2x voorgekomen bij XVI Kv enable dropped, conebeam afgebroken, => XVI afsluiten en opnieuw opstarten. De tijden ben ik niet zeker van , de 1e ergens in de ochtend, rommelige,drukke dag...",,,
,NietAcuut,XVI,Linac1,HIZ,Storing met: XVI,Verleden op L1 de FKP en ethernetkabel naar paneel vervangen,20/12/2024,0
,,,,,"""""Safe wait"""" die niet oplost, """"automated linac ASU1""""",,,
,Acuut,,Linac4,CLO,Linac automated ASU 1 en 2,-,18/12/2024,0
,NietAcuut,,Linac4,WOD,Linac Automated Asu 1 tijdens draaien conebeam. Twee keer bij gantryhoek 258 graden.,-,16/12/2024,0
,NietAcuut,Versneller,Linac3,HIZ,Storing met: Versneller,-,12/12/2024,0
,,,,,"Tijd bij benadering, storing stuk later gemeld: bestraling termination => dose diff +> reset required toen dee ie het weer",,,
,NietAcuut,Versneller,Linac3,HIZ,Storing met: Versneller,-,12/12/2024,0
,,,,,"2R-Err, na reset deliver reminder deed ie het weer",,,
,In Pauze,,Linac1,WOD,Low water pressure melding bij L1. Was twee weken geleden ook al het geval.,"Weer bijgevuld van 11 psi naar bijna 13 psi. Bij volgend onderhoud controleren of ergens water lekt. Geen lucht zichtbaar bij de filters, dus ontluchten lijkt niet noodzakelijk. - wod drukvat/expansievat opnieuwe op druk gezet dus hopelijk hoeven we minder vaak druk goed zetten - clo Laatst weer low water pressure, waarschijnlijk toch ergens een klein lek. Besloten om het uit te zingen totdat L1 vervangen wordt begin 2026. - wod",09/12/2024,0
,Acuut,,Linac4,ANB,XVI sloot na de cbct af. Bram (storingsnummer) heeft foto`s gemaakt van de foutmelding.,-,04/12/2024,0
,NietAcuut,Versneller,Linac4,PDB,Storing met: Versneller,-,03/12/2024,0
,,,,,Uniformity,,,
,Acuut,Mosaiq,Linac3,bem,MQ melding: `Setup sent is nog valid for this machine. Exit Verified Treatment?`,-,03/12/2024,0
,Acuut,,Linac4,bem,"MLC not ready, leave zit vast",-,03/12/2024,0
,NietAcuut,Versneller,Linac1,HDV,Storing met: Versneller,-,03/12/2024,0
,,,,,Beam timer en reset required: plm 8.10u 2x en 9.34u,,,
,Acuut,Versneller,Linac3,,iview pannel kan niet meer worden bewogen,-,02/12/2024,0
,NietAcuut,Versneller,Linac1,MVS,Storing met: Versneller,-,02/12/2024,0
,,,,,Beam timer (2e keer vandaag),,,
,Acuut,versnellerkop,Linac4,erik,Leaf bleef hangen Y2 70,-,28/11/2024,0
,Acuut,versnellerkop,Linac4,erik,Leafcrash Y1 en Y2 leaf 14 + lost leaf y1 en y2 nr 9,-,27/11/2024,0
