Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i0 - Unknown item,Unknown Item,Message text used for reporting an inhibit when the fault is not associated with a particular system or component.,Void,Not available,Not available,None,Edit Machine Item Part,Not available,Not available
i1 - Calibration block identification,Cal blk ID,"This item identifies the energy calibration block that is currently set on the linear accelerator. The last two digits of the item value correspond to the energy code. If a wedge is prescribed, an offset value of 20 is applied to the identities of X-ray calibration blocks.",Integer,5000 to 5999 ,Integer,None,Edit Machine Item Part,Not available,Not available
i2 - State control,State ctrl,This item commands and shows the operation condition of the digital accelerator.,Integer,Table A ,Integer,None,Edit Machine Item Part,Not available,Not available
i3 - Segment control command,Last Seg,This item shows if the current segment is the last segment of a beam.,Boolean,1- Last segment,Integer,None,Edit Machine Item Part,Not available,Not available
,,,,2 - Not last segment,,,,,
i4 - Execute automatic,Execn.Auto,"This item is selected when a change in multi-segment beam from one segment to the next is made with or without operator intervention. In the latter condition, an automatic interrupt occurs after the next segment.",Boolean,0 to 2,Integer,None,Edit Machine Item Part,Not available,Not available
,,is received. The operator executes the next segment by pressing the <START>,,,,,,,
,,button.,,,,,,,
i5 - Pipeline control,Pipe ctrl,Pipeline control.,Boolean,0 No operation 1 Cancel segments,Integer,None,Edit Machine Item Part,Not available,Not available
i6 - Pipeline status,Pipe state,This item shows whether a valid segment is held for execution.,Boolean,0 Segment not held 1 Segment held,Integer,None,Edit Machine Item Part,Not available,Not available
i7 - Execution mode,Execn.mode,This item selects the execution mode.,Integer,See Table B,Integer,None,Edit Machine Item Part,Not available,Not available
i8 - Auto set status,Auto set st,This item is the current auto set state.,Integer,"0 to 2, see Table C",Integer,None,Edit Machine Item Part,Not available,Not available
i9 - Arc/Static,Arc/Static,This item denotes the selected treatment technique.,Integer,"0 to 3, see Table D",Integer,None,Edit Machine Item Part,Not available,Not available
i10 - Next page button 1 set,Nxt page 1,This item shows the state of the <NEXT PAGE 1> button on the HHC.,Boolean,0 Not set,Integer,None,HHC,Movements [Ref: 6],Not available
i11 - Next page button 2 set,Nxt page 2,This item shows the state of the <NEXT PAGE 2> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Movements [Ref: 6],Not available
i12 - Next page button 3 set,Nxt page 3,This item shows the state of the <NEXT PAGE 3> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Movements [Ref: 6],Not available
i13 - Room lights button set,Light req,This item shows the state of the <ROOM LIGHTS> button on the HHC.,Boolean,0 Not set 1 Set,Integer,None,HHC,Movements [Ref: 6],Not available
